symbol_color
#f36f20
YYYYMMDD,HHMMSS,Latitude,Longitude,Magnitude
19680705,41837,34.32216667,-119.7185,3.5
19680705,93246,34.20966667,-119.7305,3.6
19680707,52720,34.00733333,-119.723,3.5
19680707,143330,34.198,-119.9061667,4.6
19680708,90612,34.20916667,-119.6425,3.6
19680708,91836,34.21883333,-119.6605,3.8
19680710,214925,34.185,-119.7055,3.6
19680714,124028,34.19,-119.6991667,3.5
19680730,60315,34.21166667,-119.6343333,3.5
19680731,224444,34.2065,-119.603,3.8
19680801,55431,34.09116667,-116.7786667,3.5
19680806,101840,34.0605,-116.5025,3.7
19680814,91922,33.291,-116.2608333,3.6
19680929,80211,33.1045,-115.0921667,4.2
19680929,84145,33.074,-115.1186667,3.9
19681004,105739,33.52766667,-117.3598333,3.5
19681007,141521,33.26266667,-116.4066667,3.6
19681015,160717,34.3385,-119.6896667,3.5
19681110,40259,35.77,-121.3661667,3.5
19681115,15531,32.00533333,-116.1883333,3.5
19681217,225351,33.02016667,-115.8328333,4.6
19681228,234659,32.7565,-115.4398333,3.8
19681229,64537,34.19516667,-119.721,3.6
19690109,94240,36.322,-121.0315,4.1
19690110,193437,32.412,-115.289,4
19690113,162348,34.03683333,-116.8778333,3.5
19690123,230100,33.8965,-116.0506667,4.7
19690124,925,33.91283333,-116.0313333,3.5
19690125,30001,33.86766667,-115.7976667,4.1
19690125,161417,32.01466667,-116.1151667,3.8
19690208,63139,35.35183333,-119.4278333,3.6
19690209,213432,32.59983333,-115.4756667,3.5
19690210,150749,32.91316667,-115.5278333,3.7
19690228,45612,34.55533333,-118.13,4.3
19690329,65726,32.93533333,-116.2328333,3.5
19690408,153955,35.062,-119.0076667,3.6
19690413,105505,33.56216667,-118.3198333,3.5
19690428,232045,33.2295,-116.3665,5.5
19690430,164525,33.3,-116.2563333,3.5
19690501,161245,32.07633333,-115.6691667,3.5
19690505,160209,34.295,-117.5568333,4.3
19690519,144033,33.368,-116.2106667,4.5
19690605,111925,33.09833333,-115.8851667,3.5
19690608,135937,33.20916667,-115.9408333,3.9
19690610,81818,35.08483333,-116.596,3.7
19690611,140353,34.21816667,-116.2915,3.6
19690612,111854,34.10116667,-120.8623333,3.8
19690613,72923,32.18033333,-115.7638333,3.7
19690615,101149,35.26883333,-121.063,3.7
19690619,70508,36.12066667,-119.5395,3.6
19690622,91518,33.937,-118.7178333,3.7
19690626,125550,32.345,-115.8036667,3.7
19690630,22118,35.0935,-116.601,3.6
19690716,40632,35.99216667,-120.3356667,3.6
19690812,10651,34.81833333,-117.8791667,3.5
19690820,152957,33.01083333,-116.2463333,4
19690906,134443,35.228,-121.4303333,3.7
19690909,82121,33.64166667,-115.9568333,3.6
19690928,231730,33.17933333,-116.0663333,3.8
19691002,60057,36.47433333,-119.9753333,3.5
19691008,162510,33.214,-116.0725,3.6
19691014,131840,32.89383333,-116.0956667,4.5
19691015,12853,34.314,-117.5941667,3.5
19691022,173413,34.43383333,-121.5773333,4
19691022,225132,34.35383333,-121.367,5.1
19691023,253,34.35516667,-121.5383333,4.1
19691023,1304,35.148,-121.7648333,3.8
19691023,3701,34.26683333,-121.7785,3.7
19691023,34310,34.44416667,-121.871,3.6
19691023,43322,34.33633333,-121.5635,3.5
19691023,71903,34.27016667,-121.4848333,3.5
19691023,163758,34.57233333,-121.8768333,3.9
19691024,82912,33.36516667,-119.1475,4.8
19691024,131206,34.715,-121.5368333,4
19691024,191306,34.81783333,-121.5141667,3.5
19691024,202644,33.36366667,-119.1235,4.6
19691026,94155,33.35133333,-119.1641667,3.9
19691026,101406,33.33733333,-119.1453333,3.9
19691026,142653,33.33583333,-119.1208333,3.8
19691027,131602,33.54333333,-117.7753333,4.4
19691028,2238,34.644,-121.5036667,3.9
19691030,153618,34.31033333,-120.9178333,4
19691031,91216,34.63833333,-121.3306667,3.7
19691031,103930,33.50866667,-119.143,4.6
19691104,4044,34.30433333,-121.3665,4.3
19691105,175408,34.6495,-121.4945,5.5
19691105,184841,34.54416667,-121.6086667,4.6
19691105,194340,34.758,-121.1471667,3.6
19691105,200348,34.388,-121.5603333,3.5
19691106,180147,34.37733333,-121.44,3.5
19691108,3330,34.63166667,-121.4076667,3.8
19691108,233537,34.65066667,-121.408,3.6
19691109,12736,33.76516667,-121.6808333,4.2
19691109,164206,34.55316667,-121.5865,3.7
19691110,192124,34.45366667,-121.5738333,4.1
19691115,205758,36.744,-121.814,4.3
19691201,151535,32.99783333,-116.2495,3.7
19691203,221031,34.5355,-121.8798333,4.2
19691210,132534,35.92366667,-120.4393333,3.7
19691215,22008,34.76166667,-121.5563333,3.6
19691216,170545,33.2295,-115.938,3.7
19691221,51400,34.8265,-121.5488333,3.5
19700106,22908,36.60066667,-120.9855,3.9
19700106,221809,34.75933333,-121.4183333,3.7
19700108,170034,34.63116667,-121.531,3.7
19700121,112353,32.3595,-115.9998333,4
19700212,132356,36.86633333,-115.8675,3.9
19700223,75217,34.73916667,-121.3955,3.6
19700227,82108,32.19383333,-115.6966667,3.6
19700303,71657,32.19983333,-115.7606667,3.5
19700319,162910,36.84883333,-115.2285,3.9
19700324,35233,36.254,-118.313,3.5
19700508,105957,36.56066667,-120.3673333,3.7
19700518,201040,36.47016667,-117.6866667,3.5
19700520,51848,36.49816667,-120.4058333,3.7
19700527,104219,35.9595,-120.9103333,3.7
19700626,25855,32.01866667,-115.263,3.8
19700708,92530,35.4245,-117.7928333,4.1
19700714,11537,35.064,-118.9786667,3.5
19700716,60038,32.91366667,-116.226,3.6
19700813,50620,36.1405,-121.647,3.5
19700820,220340,34.23333333,-115.828,3.6
19700825,142649,32.8975,-118.1685,3.5
19700912,110441,33.04,-115.2323333,3.8
19700912,141011,34.25033333,-117.522,4
19700912,143052,34.26816667,-117.5345,5.2
19700913,44748,34.28566667,-117.5313333,4.2
19700923,83333,33.93333333,-118.2525,3.5
19700929,205825,35.50033333,-118.3596667,3.5
19701008,44958,34.50716667,-121.5575,3.7
19701008,172916,36.63866667,-121.8901667,3.5
19701009,75506,33.78033333,-118.3765,3.5
19701023,182718,33.05233333,-116.3833333,3.7
19701103,31705,33.96166667,-116.6001667,3.5
19701109,5206,36.73533333,-121.6656667,3.5
19701214,191419,34.31583333,-115.7211667,3.8
19701224,232822,32.99183333,-116.2816667,3.7
19701230,130449,35.76033333,-117.5921667,4.3
19710105,61445,34.04516667,-118.0391667,3.6
19710111,152128,34.73083333,-121.317,3.7
19710116,5353,35.491,-118.3565,3.5
19710116,40919,33.4725,-116.4218333,3.5
19710119,23612,33.97766667,-116.7495,3.5
19710121,12857,32.128,-116.1693333,3.5
19710123,220736,32.6565,-115.8153333,4
19710131,122242,36.33183333,-120.8603333,3.9
19710209,140041,34.41616667,-118.3698333,6.6
19710209,140112,34.41616667,-118.3698333,5.8
19710209,140136,34.41616667,-118.3698333,4.2
19710209,140140,34.41616667,-118.3698333,4.1
19710209,140153,34.41616667,-118.3698333,4.5
19710209,140154,34.41616667,-118.3698333,4.2
19710209,140159,34.41616667,-118.3698333,4.1
19710209,140229,34.41616667,-118.3698333,4.7
19710209,140245,34.41616667,-118.3698333,5.8
19710209,140247,34.33333333,-118.3333333,3.9
19710209,140250,34.41616667,-118.3698333,3.7
19710209,140259,34.41616667,-118.3698333,3.5
19710209,140305,34.41616667,-118.3698333,3.5
19710209,140311,34.41616667,-118.3698333,3.5
19710209,140325,34.41616667,-118.3698333,4.4
19710209,140331,34.41616667,-118.3698333,3.7
19710209,140343,34.41616667,-118.3698333,4.1
19710209,140407,34.41616667,-118.3698333,4.1
19710209,140419,34.41616667,-118.3698333,3.7
19710209,140421,34.41616667,-118.3698333,3.9
19710209,140435,34.41616667,-118.3698333,4.2
19710209,140437,34.41616667,-118.3698333,4.1
19710209,140442,34.41616667,-118.3698333,4.2
19710209,140444,34.41616667,-118.3698333,4.1
19710209,140449,34.41616667,-118.3698333,3.5
19710209,140534,34.41616667,-118.3698333,3.5
19710209,140535,34.41616667,-118.3698333,3.9
19710209,140541,34.41616667,-118.3698333,4.1
19710209,140552,34.41616667,-118.3698333,4.1
19710209,140559,34.41616667,-118.3698333,3.9
19710209,140610,34.41616667,-118.3698333,3.7
19710209,140620,34.41616667,-118.3698333,3.9
19710209,140623,34.41616667,-118.3698333,3.7
19710209,140646,34.41616667,-118.3698333,3.7
19710209,140710,34.41616667,-118.3698333,4
19710209,140731,34.40033333,-118.368,3.9
19710209,140743,34.41616667,-118.3698333,4.5
19710209,140759,34.41616667,-118.3698333,4
19710209,140803,34.41616667,-118.3698333,4.2
19710209,140834,34.41616667,-118.3698333,4.5
19710209,140853,34.41616667,-118.3698333,4.6
19710209,140936,34.41616667,-118.3698333,3.7
19710209,141021,34.227,-118.397,4.6
19710209,141029,34.41616667,-118.3698333,5.3
19710209,141131,34.2735,-118.3213333,4
19710209,141150,34.41616667,-118.3698333,3.8
19710209,141335,34.339,-118.3316667,3.9
19710209,141544,34.41616667,-118.3698333,3.9
19710209,141611,34.38916667,-118.3993333,4
19710209,141950,34.333,-118.4136667,4
19710209,142216,34.3705,-118.303,4.1
19710209,142453,34.41616667,-118.3698333,3.6
19710209,142515,34.39666667,-118.5696667,3.6
19710209,142606,34.4415,-118.4406667,3.5
19710209,142653,34.41616667,-118.3698333,3.5
19710209,142815,34.40716667,-118.3291667,3.7
19710209,142933,34.38483333,-118.3866667,3.6
19710209,143125,34.402,-118.38,3.9
19710209,143203,34.39816667,-118.3103333,3.5
19710209,143306,34.41616667,-118.3698333,3.5
19710209,143410,34.40583333,-118.4346667,3.5
19710209,143439,34.2605,-118.4258333,4.8
19710209,143802,34.41616667,-118.3698333,3.5
19710209,143917,34.34433333,-118.4068333,4
19710209,144016,34.3565,-118.5206667,4.1
19710209,144347,34.3575,-118.4728333,4.5
19710209,144830,34.383,-118.377,3.8
19710209,144930,34.41616667,-118.3698333,3.5
19710209,145244,34.403,-118.3618333,3.7
19710209,145459,34.3155,-118.4351667,3.5
19710209,150016,34.3345,-118.5986667,3.6
19710209,151002,34.45566667,-118.3601667,3.8
19710209,152825,34.39616667,-118.3968333,3.7
19710209,153829,34.41483333,-118.4023333,3.7
19710209,154557,34.32466667,-118.5436667,3.5
19710209,155820,34.40533333,-118.291,4.6
19710209,161400,34.41616667,-118.3698333,3.7
19710209,161927,34.35866667,-118.4286667,4.1
19710209,162841,34.35816667,-118.3501667,3.8
19710209,163237,34.35283333,-118.4958333,3.5
19710209,163844,34.369,-118.4631667,3.5
19710209,163933,34.16566667,-118.3353333,3.5
19710209,164130,34.41616667,-118.3698333,3.5
19710209,170347,34.3715,-118.4515,3.9
19710209,170445,34.46566667,-118.3818333,3.5
19710209,171915,34.40716667,-118.4151667,3.6
19710209,173950,34.31833333,-118.5086667,3.5
19710209,180220,34.334,-118.39,3.5
19710209,182924,34.38033333,-118.455,3.6
19710209,185531,34.35933333,-118.2891667,3.6
19710209,185702,34.362,-118.2906667,3.6
19710209,205601,34.355,-118.324,3.5
19710209,212913,34.40466667,-118.3566667,3.8
19710209,224836,34.36633333,-118.4628333,3.7
19710210,11611,34.36316667,-118.299,3.9
19710210,13815,34.365,-118.4538333,3.7
19710210,23013,34.39,-118.4286667,3.7
19710210,31211,34.36533333,-118.309,4
19710210,31413,34.361,-118.2916667,3.6
19710210,31425,34.43333333,-118.3615,3.6
19710210,50635,34.4075,-118.3213333,4.3
19710210,51806,34.41316667,-118.4205,4.4
19710210,54141,34.36833333,-118.297,3.6
19710210,72702,34.38033333,-118.4123333,3.9
19710210,112925,34.44516667,-118.4191667,3.5
19710210,113134,34.4235,-118.3908333,4.2
19710210,120958,34.30516667,-118.4786667,3.5
19710210,124218,34.32816667,-118.3165,3.7
19710210,134953,34.35083333,-118.446,4.2
19710210,143526,34.36183333,-118.4721667,4.1
19710210,150031,34.3545,-118.2881667,3.5
19710210,154810,34.33533333,-118.3493333,3.5
19710210,173854,34.36466667,-118.3793333,4
19710210,185441,34.42633333,-118.4363333,4
19710210,234227,34.37766667,-118.3606667,3.6
19710211,3000,34.3615,-118.3095,3.7
19710211,164330,34.301,-118.5338333,3.6
19710211,193511,34.39083333,-118.434,3.8
19710211,233547,34.3475,-118.3356667,3.5
19710212,162244,34.33466667,-118.5018333,3.7
19710214,33840,34.3825,-118.3841667,3.5
19710214,134449,34.28216667,-118.5081667,3.8
19710214,175358,34.33733333,-118.2901667,3.5
19710215,80449,34.473,-118.3936667,4
19710215,130342,34.42916667,-118.411,3.5
19710216,43703,34.215,-118.5605,3.5
19710219,24511,34.30616667,-118.473,3.6
19710219,80829,34.2375,-118.5645,3.7
19710220,80927,34.40983333,-118.4296667,3.6
19710220,231558,34.30966667,-118.5231667,3.8
